Athlete,Age,Country,Year,Date,Sport,Gold,Silver,Bronze
Andrea Bari,32,Italy,2012,12/8/12,Volleyball,0,0,1
Yury Berezhko,28,Russia,2012,12/8/12,Volleyball,1,0,0
Lindsey Berg,32,United States,2012,12/8/12,Volleyball,0,1,0
Emanuele Birarelli,31,Italy,2012,12/8/12,Volleyball,0,0,1
Dante Boninfante,35,Italy,2012,12/8/12,Volleyball,0,0,1
Aleksandr Butko,26,Russia,2012,12/8/12,Volleyball,1,0,0
Tandara Caixeta,23,Brazil,2012,12/8/12,Volleyball,1,0,0
Adenízia da Silva,25,Brazil,2012,12/8/12,Volleyball,1,0,0
Dante,31,Brazil,2012,12/8/12,Volleyball,0,1,0
Nicole Davis,30,United States,2012,12/8/12,Volleyball,0,1,0
Wallace de Souza,25,Brazil,2012,12/8/12,Volleyball,0,1,0
Yukiko Ebata,22,Japan,2012,12/8/12,Volleyball,0,0,1
Fabi,32,Brazil,2012,12/8/12,Volleyball,1,0,0
Fabiana,27,Brazil,2012,12/8/12,Volleyball,1,0,0
Alessandro Fei,33,Italy,2012,12/8/12,Volleyball,0,0,1
Fernandinha,32,Brazil,2012,12/8/12,Volleyball,1,0,0
Giba,35,Brazil,2012,12/8/12,Volleyball,0,1,0
Andrea Giovi,28,Italy,2012,12/8/12,Volleyball,0,0,1
Sergey Grankin,27,Russia,2012,12/8/12,Volleyball,1,0,0
Tayyiba Haneef-Park,33,United States,2012,12/8/12,Volleyball,0,1,0
Christa Harmotto,25,United States,2012,12/8/12,Volleyball,0,1,0
Megan Hodge,23,United States,2012,12/8/12,Volleyball,0,1,0
Destinee Hooker,24,United States,2012,12/8/12,Volleyball,0,1,0
Dmitry Ilyinykh,25,Russia,2012,12/8/12,Volleyball,1,0,0
Kaori Inoue,29,Japan,2012,12/8/12,Volleyball,0,0,1
Pereira de Carvalho Endres Jaque,28,Brazil,2012,12/8/12,Volleyball,1,0,0
Maiko Kano,24,Japan,2012,12/8/12,Volleyball,0,0,1
Taras Khtey,30,Russia,2012,12/8/12,Volleyball,1,0,0
Saori Kimura,25,Japan,2012,12/8/12,Volleyball,0,0,1
Jordan Larson,25,United States,2012,12/8/12,Volleyball,0,1,0
Michal Lasko,31,Italy,2012,12/8/12,Volleyball,0,0,1
Dani Lins,27,Brazil,2012,12/8/12,Volleyball,1,0,0
Luigi Mastrangelo,36,Italy,2012,12/8/12,Volleyball,0,0,1
Maksim Mikhaylov,24,Russia,2012,12/8/12,Volleyball,1,0,0
Tamari Miyashiro,25,United States,2012,12/8/12,Volleyball,0,1,0
Murilo,31,Brazil,2012,12/8/12,Volleyball,0,1,0
Dmitry Musersky,23,Russia,2012,12/8/12,Volleyball,1,0,0
Hitomi Nakamichi,26,Japan,2012,12/8/12,Volleyball,0,0,1
Leandro Neves,29,Brazil,2012,12/8/12,Volleyball,0,1,0
Aleksey Obmochayev,23,Russia,2012,12/8/12,Volleyball,1,0,0
Ai Otomo-Yamamoto,30,Japan,2012,12/8/12,Volleyball,0,0,1
Samuele Papi,39,Italy,2012,12/8/12,Volleyball,0,0,1
Simone Parodi,26,Italy,2012,12/8/12,Volleyball,0,0,1
Paula,30,Brazil,2012,12/8/12,Volleyball,1,0,0
Natália Pereira,23,Brazil,2012,12/8/12,Volleyball,1,0,0
Rodrigão,33,Brazil,2012,12/8/12,Volleyball,0,1,0
Fernanda Rodrigues,26,Brazil,2012,12/8/12,Volleyball,1,0,0
Lucas Saatkamp,26,Brazil,2012,12/8/12,Volleyball,0,1,0
Saori Sakoda,24,Japan,2012,12/8/12,Volleyball,0,0,1
Yuko Sano,33,Japan,2012,12/8/12,Volleyball,0,0,1
Cristian Savani,30,Italy,2012,12/8/12,Volleyball,0,0,1
Danielle Scott-Arruda,39,United States,2012,12/8/12,Volleyball,0,1,0
Sheilla,29,Brazil,2012,12/8/12,Volleyball,1,0,0
Risa Shinnabe,22,Japan,2012,12/8/12,Volleyball,0,0,1
Sidão,30,Brazil,2012,12/8/12,Volleyball,0,1,0
Aleksandr Sokolov,30,Russia,2012,12/8/12,Volleyball,1,0,0
Yoshie Takeshita,34,Japan,2012,12/8/12,Volleyball,0,0,1
Sergey Tetyukhin,36,Russia,2012,12/8/12,Volleyball,1,0,0
Thaísa,25,Brazil,2012,12/8/12,Volleyball,1,0,0
Courtney Thompson,27,United States,2012,12/8/12,Volleyball,0,1,0
Logan Tom,31,United States,2012,12/8/12,Volleyball,0,1,0
Dragan Travica,25,Italy,2012,12/8/12,Volleyball,0,0,1
Aleksandr Volkov,27,Russia,2012,12/8/12,Volleyball,1,0,0
Mai Yamaguchi,29,Japan,2012,12/8/12,Volleyball,0,0,1
Ivan Zaytsev,23,Italy,2012,12/8/12,Volleyball,0,0,1
Robyn Ah Mow-Santos,32,United States,2008,24/08/2008,Volleyball,0,1,0
Anderson,34,Brazil,2008,24/08/2008,Volleyball,0,1,0
Lloy Ball,36,United States,2008,24/08/2008,Volleyball,1,0,0
Yury Berezhko,24,Russia,2008,24/08/2008,Volleyball,0,0,1
Lindsey Berg,28,United States,2008,24/08/2008,Volleyball,0,1,0
Heather Bown,29,United States,2008,24/08/2008,Volleyball,0,1,0
Bruninho,22,Brazil,2008,24/08/2008,Volleyball,0,1,0
Carol,31,Brazil,2008,24/08/2008,Volleyball,1,0,0
Dante,27,Brazil,2008,24/08/2008,Volleyball,0,1,0
Nicole Davis,26,United States,2008,24/08/2008,Volleyball,0,1,0
Escadinha,32,Brazil,2008,24/08/2008,Volleyball,0,1,0
Fabi,28,Brazil,2008,24/08/2008,Volleyball,1,0,0
Fabiana,23,Brazil,2008,24/08/2008,Volleyball,1,0,0
Feng Kun,29,China,2008,24/08/2008,Volleyball,0,0,1
Fofão,38,Brazil,2008,24/08/2008,Volleyball,1,0,0
Gabe Gardner,32,United States,2008,24/08/2008,Volleyball,1,0,0
Giba,31,Brazil,2008,24/08/2008,Volleyball,0,1,0
Kim Glass,23,United States,2008,24/08/2008,Volleyball,0,1,0
Sergey Grankin,23,Russia,2008,24/08/2008,Volleyball,0,0,1
Gustavo,32,Brazil,2008,24/08/2008,Volleyball,0,1,0
Tayyiba Haneef-Park,29,United States,2008,24/08/2008,Volleyball,0,1,0
Kevin Hansen,26,United States,2008,24/08/2008,Volleyball,1,0,0
André Heller,32,Brazil,2008,24/08/2008,Volleyball,0,1,0
Tom Hoff,35,United States,2008,24/08/2008,Volleyball,1,0,0
Pereira de Carvalho Endres Jaque,24,Brazil,2008,24/08/2008,Volleyball,1,0,0
Jennifer Joines,25,United States,2008,24/08/2008,Volleyball,0,1,0
Vadim Khamuttskikh,38,Russia,2008,24/08/2008,Volleyball,0,0,1
Aleksandr Korneyev,27,Russia,2008,24/08/2008,Volleyball,0,0,1
Aleksandr Kosaryev,30,Russia,2008,24/08/2008,Volleyball,0,0,1
Aleksey Kuleshov,29,Russia,2008,24/08/2008,Volleyball,0,0,1
Rich Lambourne,33,United States,2008,24/08/2008,Volleyball,1,0,0
David Lee,26,United States,2008,24/08/2008,Volleyball,1,0,0
Li Juan,27,China,2008,24/08/2008,Volleyball,0,0,1
Liu Yanan,27,China,2008,24/08/2008,Volleyball,0,0,1
Ma Yunwen,21,China,2008,24/08/2008,Volleyball,0,0,1
Marcelinho,33,Brazil,2008,24/08/2008,Volleyball,0,1,0
Mari,24,Brazil,2008,24/08/2008,Volleyball,1,0,0
Maksim Mikhaylov,20,Russia,2008,24/08/2008,Volleyball,0,0,1
Ryan Millar,30,United States,2008,24/08/2008,Volleyball,1,0,0
Murilo,27,Brazil,2008,24/08/2008,Volleyball,0,1,0
André Nascimento,29,Brazil,2008,24/08/2008,Volleyball,0,1,0
Ogonna Nnamani,25,United States,2008,24/08/2008,Volleyball,0,1,0
Aleksey Ostapenko,22,Russia,2008,24/08/2008,Volleyball,0,0,1
Paula,26,Brazil,2008,24/08/2008,Volleyball,1,0,0
Semyon Poltavsky,27,Russia,2008,24/08/2008,Volleyball,0,0,1
Reid Priddy,30,United States,2008,24/08/2008,Volleyball,1,0,0
Rodrigão,29,Brazil,2008,24/08/2008,Volleyball,0,1,0
Sean Rooney,25,United States,2008,24/08/2008,Volleyball,1,0,0
Riley Salmon,32,United States,2008,24/08/2008,Volleyball,1,0,0
Samuel,24,Brazil,2008,24/08/2008,Volleyball,0,1,0
Sassá,25,Brazil,2008,24/08/2008,Volleyball,1,0,0
Danielle Scott-Arruda,35,United States,2008,24/08/2008,Volleyball,0,1,0
Sheilla,25,Brazil,2008,24/08/2008,Volleyball,1,0,0
Clay Stanley,30,United States,2008,24/08/2008,Volleyball,1,0,0
Stacy Sykora,31,United States,2008,24/08/2008,Volleyball,0,1,0
Sergey Tetyukhin,32,Russia,2008,24/08/2008,Volleyball,0,0,1
Thaísa,21,Brazil,2008,24/08/2008,Volleyball,1,0,0
Logan Tom,27,United States,2008,24/08/2008,Volleyball,0,1,0
Scott Touzinsky,26,United States,2008,24/08/2008,Volleyball,1,0,0
Valeskinha,32,Brazil,2008,24/08/2008,Volleyball,1,0,0
Aleksey Verbov,26,Russia,2008,24/08/2008,Volleyball,0,0,1
Aleksandr Volkov,23,Russia,2008,24/08/2008,Volleyball,0,0,1
Walewska,29,Brazil,2008,24/08/2008,Volleyball,1,0,0
Wang Yimei,20,China,2008,24/08/2008,Volleyball,0,0,1
Wei Qiuyue,19,China,2008,24/08/2008,Volleyball,0,0,1
Kim Willoughby,27,United States,2008,24/08/2008,Volleyball,0,1,0
Xu Yunli,21,China,2008,24/08/2008,Volleyball,0,0,1
Xue Ming,21,China,2008,24/08/2008,Volleyball,0,0,1
Yang Hao,28,China,2008,24/08/2008,Volleyball,0,0,1
Zhang Na,28,China,2008,24/08/2008,Volleyball,0,0,1
Zhao Ruirui,26,China,2008,24/08/2008,Volleyball,0,0,1
Zhou Suhong,29,China,2008,24/08/2008,Volleyball,0,0,1
Pavel Abramov,25,Russia,2004,29/08/2004,Volleyball,0,0,1
Anderson,30,Brazil,2004,29/08/2004,Volleyball,1,0,0
Yevgeniya Artamonova-Estes,29,Russia,2004,29/08/2004,Volleyball,0,1,0
Sergey Baranov,23,Russia,2004,29/08/2004,Volleyball,0,0,1
Zoila Barros,28,Cuba,2004,29/08/2004,Volleyball,0,0,1
Yelena Batukhtina-Tyurina,33,Russia,2004,29/08/2004,Volleyball,0,1,0
Rosir Calderon,19,Cuba,2004,29/08/2004,Volleyball,0,0,1
Nancy Carrillo,18,Cuba,2004,29/08/2004,Volleyball,0,0,1
Matej Cernic,25,Italy,2004,29/08/2004,Volleyball,0,1,0
Chen Jing,28,China,2004,29/08/2004,Volleyball,1,0,0
Olga Chukanova,24,Russia,2004,29/08/2004,Volleyball,0,1,0
Alberto Cisolla,26,Italy,2004,29/08/2004,Volleyball,0,1,0
Paolo Cozzi,24,Italy,2004,29/08/2004,Volleyball,0,1,0
Dante,23,Brazil,2004,29/08/2004,Volleyball,1,0,0
Stanislav Dineykin,30,Russia,2004,29/08/2004,Volleyball,0,0,1
Escadinha,28,Brazil,2004,29/08/2004,Volleyball,1,0,0
Alessandro Fei,25,Italy,2004,29/08/2004,Volleyball,0,1,0
Feng Kun,25,China,2004,29/08/2004,Volleyball,1,0,0
Ana Ivis Fernández,31,Cuba,2004,29/08/2004,Volleyball,0,0,1
Yekaterina Gamova,23,Russia,2004,29/08/2004,Volleyball,0,1,0
Andrea Giani,34,Italy,2004,29/08/2004,Volleyball,0,1,0
Giba,27,Brazil,2004,29/08/2004,Volleyball,1,0,0
Giovane,33,Brazil,2004,29/08/2004,Volleyball,1,0,0
Gustavo,28,Brazil,2004,29/08/2004,Volleyball,1,0,0
André Heller,28,Brazil,2004,29/08/2004,Volleyball,1,0,0
Aleksey Kazakov,28,Russia,2004,29/08/2004,Volleyball,0,0,1
Vadim Khamuttskikh,34,Russia,2004,29/08/2004,Volleyball,0,0,1
Taras Khtey,22,Russia,2004,29/08/2004,Volleyball,0,0,1
Aleksandr Kosaryev,26,Russia,2004,29/08/2004,Volleyball,0,0,1
Aleksey Kuleshov,25,Russia,2004,29/08/2004,Volleyball,0,0,1
Li Shan,24,China,2004,29/08/2004,Volleyball,1,0,0
Liu Yanan,23,China,2004,29/08/2004,Volleyball,1,0,0
Mayvelis Martínez,27,Cuba,2004,29/08/2004,Volleyball,0,0,1
Luigi Mastrangelo,28,Italy,2004,29/08/2004,Volleyball,0,1,0
Maurício,36,Brazil,2004,29/08/2004,Volleyball,1,0,0
Liana Mesa,26,Cuba,2004,29/08/2004,Volleyball,0,0,1
Anniara Muñoz,24,Cuba,2004,29/08/2004,Volleyball,0,0,1
Nalbert,30,Brazil,2004,29/08/2004,Volleyball,1,0,0
André Nascimento,25,Brazil,2004,29/08/2004,Volleyball,1,0,0
Olga Nikolayeva,32,Russia,2004,29/08/2004,Volleyball,0,1,0
Yaima Ortíz,22,Cuba,2004,29/08/2004,Volleyball,0,0,1
Samuele Papi,31,Italy,2004,29/08/2004,Volleyball,0,1,0
Damiano Pippi,32,Italy,2004,29/08/2004,Volleyball,0,1,0
Yelena Plotnikova,26,Russia,2004,29/08/2004,Volleyball,0,1,0
Daimí Ramírez,20,Cuba,2004,29/08/2004,Volleyball,0,0,1
Ricardinho,28,Brazil,2004,29/08/2004,Volleyball,1,0,0
Rodrigão,25,Brazil,2004,29/08/2004,Volleyball,1,0,0
Yumilka Ruíz,26,Cuba,2004,29/08/2004,Volleyball,0,0,1
Marta Sánchez,31,Cuba,2004,29/08/2004,Volleyball,0,0,1
Andrea Sartoretti,33,Italy,2004,29/08/2004,Volleyball,0,1,0
Marina Sheshenina,19,Russia,2004,29/08/2004,Volleyball,0,1,0
Ventzislav Simeonov,27,Italy,2004,29/08/2004,Volleyball,0,1,0
Lyubov Sokolova-Shashkova,26,Russia,2004,29/08/2004,Volleyball,0,1,0
Song Nina,24,China,2004,29/08/2004,Volleyball,1,0,0
Irina Tebenikhina,25,Russia,2004,29/08/2004,Volleyball,0,1,0
Dulce Téllez,20,Cuba,2004,29/08/2004,Volleyball,0,0,1
Sergey Tetyukhin,28,Russia,2004,29/08/2004,Volleyball,0,0,1
Yelizaveta Tishchenko,29,Russia,2004,29/08/2004,Volleyball,0,1,0
Paolo Tofoli,38,Italy,2004,29/08/2004,Volleyball,0,1,0
Konstantin Ushakov,34,Russia,2004,29/08/2004,Volleyball,0,0,1
Aleksey Verbov,22,Russia,2004,29/08/2004,Volleyball,0,0,1
Valerio Vermiglio,28,Italy,2004,29/08/2004,Volleyball,0,1,0
Wang Lina,26,China,2004,29/08/2004,Volleyball,1,0,0
Yang Hao,24,China,2004,29/08/2004,Volleyball,1,0,0
Andrey Yegorchev,26,Russia,2004,29/08/2004,Volleyball,0,0,1
Zhang Na,24,China,2004,29/08/2004,Volleyball,1,0,0
Zhang Ping,22,China,2004,29/08/2004,Volleyball,1,0,0
Zhang Yuehong,28,China,2004,29/08/2004,Volleyball,1,0,0
Zhao Ruirui,22,China,2004,29/08/2004,Volleyball,1,0,0
Zhou Suhong,25,China,2004,29/08/2004,Volleyball,1,0,0
Tai Aguero,23,Cuba,2000,1/10/00,Volleyball,1,0,0
Yevgeniya Artamonova-Estes,25,Russia,2000,1/10/00,Volleyball,0,1,0
Vladimir Batez,31,Serbia and Montenegro,2000,1/10/00,Volleyball,1,0,0
Yelena Batukhtina-Tyurina,29,Russia,2000,1/10/00,Volleyball,0,1,0
Anastasiya Belikova,21,Russia,2000,1/10/00,Volleyball,0,1,0
Regla Bell,30,Cuba,2000,1/10/00,Volleyball,1,0,0
Slobodan Boškan,25,Serbia and Montenegro,2000,1/10/00,Volleyball,1,0,0
Marco Bracci,34,Italy,2000,1/10/00,Volleyball,0,0,1
Mirko Corsano,26,Italy,2000,1/10/00,Volleyball,0,0,1
Marlenis Costa,27,Cuba,2000,1/10/00,Volleyball,1,0,0
Elisângela,21,Brazil,2000,1/10/00,Volleyball,0,0,1
Alessandro Fei,21,Italy,2000,1/10/00,Volleyball,0,0,1
Ana Ivis Fernández,27,Cuba,2000,1/10/00,Volleyball,1,0,0
Fofão,30,Brazil,2000,1/10/00,Volleyball,0,0,1
Mirka Francis,25,Cuba,2000,1/10/00,Volleyball,1,0,0
Yekaterina Gamova,19,Russia,2000,1/10/00,Volleyball,0,1,0
Andrea Gardini,34,Italy,2000,1/10/00,Volleyball,0,0,1
Aleksandr Gerasimov,25,Russia,2000,1/10/00,Volleyball,0,1,0
Andrija Geric,23,Serbia and Montenegro,2000,1/10/00,Volleyball,1,0,0
Andrea Giani,30,Italy,2000,1/10/00,Volleyball,0,0,1
Lena Godina,22,Russia,2000,1/10/00,Volleyball,0,1,0
Valery Goryushev,26,Russia,2000,1/10/00,Volleyball,0,1,0
Tatyana Gracheva,27,Russia,2000,1/10/00,Volleyball,0,1,0
Pasquale Gravina,30,Italy,2000,1/10/00,Volleyball,0,0,1
Nikola Grbic,27,Serbia and Montenegro,2000,1/10/00,Volleyball,1,0,0
Vladimir Grbic,29,Serbia and Montenegro,2000,1/10/00,Volleyball,1,0,0
Janina,27,Brazil,2000,1/10/00,Volleyball,0,0,1
Karin,28,Brazil,2000,1/10/00,Volleyball,0,0,1
Kátia,27,Brazil,2000,1/10/00,Volleyball,0,0,1
Aleksey Kazakov,24,Russia,2000,1/10/00,Volleyball,0,1,0
Kely,25,Brazil,2000,1/10/00,Volleyball,0,0,1
Vadim Khamuttskikh,30,Russia,2000,1/10/00,Volleyball,0,1,0
Kiki,20,Brazil,2000,1/10/00,Volleyball,0,0,1
Slobodan Kovac,33,Serbia and Montenegro,2000,1/10/00,Volleyball,1,0,0
Aleksey Kuleshov,21,Russia,2000,1/10/00,Volleyball,0,1,0
Leila,28,Brazil,2000,1/10/00,Volleyball,0,0,1
Mireya Luis,33,Cuba,2000,1/10/00,Volleyball,1,0,0
Luigi Mastrangelo,25,Italy,2000,1/10/00,Volleyball,0,0,1
Marco Meoni,27,Italy,2000,1/10/00,Volleyball,0,0,1
Ðula Mešter,28,Serbia and Montenegro,2000,1/10/00,Volleyball,1,0,0
Vasa Mijic,27,Serbia and Montenegro,2000,1/10/00,Volleyball,1,0,0
Ivan Miljkovic,21,Serbia and Montenegro,2000,1/10/00,Volleyball,1,0,0
Yevgeny Mitkov,28,Russia,2000,1/10/00,Volleyball,0,1,0
Nataliya Morozova,27,Russia,2000,1/10/00,Volleyball,0,1,0
Ruslan Olikhver,31,Russia,2000,1/10/00,Volleyball,0,1,0
Samuele Papi,27,Italy,2000,1/10/00,Volleyball,0,0,1
Olga Potashova,24,Russia,2000,1/10/00,Volleyball,0,1,0
Raquel,22,Brazil,2000,1/10/00,Volleyball,0,0,1
Ricarda,30,Brazil,2000,1/10/00,Volleyball,0,0,1
Simone Rosalba,24,Italy,2000,1/10/00,Volleyball,0,0,1
Yumilka Ruíz,22,Cuba,2000,1/10/00,Volleyball,1,0,0
Inessa Sargsyan,28,Russia,2000,1/10/00,Volleyball,0,1,0
Andrea Sartoretti,29,Italy,2000,1/10/00,Volleyball,0,0,1
Ilya Savelyev,29,Russia,2000,1/10/00,Volleyball,0,1,0
Igor Shulepov,27,Russia,2000,1/10/00,Volleyball,0,1,0
Lyubov Sokolova-Shashkova,22,Russia,2000,1/10/00,Volleyball,0,1,0
Sergey Tetyukhin,24,Russia,2000,1/10/00,Volleyball,0,1,0
Yelizaveta Tishchenko,25,Russia,2000,1/10/00,Volleyball,0,1,0
Paolo Tofoli,34,Italy,2000,1/10/00,Volleyball,0,0,1
Regla Torres,25,Cuba,2000,1/10/00,Volleyball,1,0,0
Konstantin Ushakov,30,Russia,2000,1/10/00,Volleyball,0,1,0
Yelena Vasilevskaya,22,Russia,2000,1/10/00,Volleyball,0,1,0
Virna,29,Brazil,2000,1/10/00,Volleyball,0,0,1
Goran Vujevic,27,Serbia and Montenegro,2000,1/10/00,Volleyball,1,0,0
Igor Vušurovic,25,Serbia and Montenegro,2000,1/10/00,Volleyball,1,0,0
Walewska,21,Brazil,2000,1/10/00,Volleyball,0,0,1
Roman Yakovlev,24,Russia,2000,1/10/00,Volleyball,0,1,0
Timo Boll,31,Germany,2012,12/8/12,Table Tennis,0,0,1
Ai Fukuhara,23,Japan,2012,12/8/12,Table Tennis,0,1,0
Guo Yue,24,China,2012,12/8/12,Table Tennis,1,0,0
Sayaka Hirano,27,Japan,2012,12/8/12,Table Tennis,0,1,0
Kasumi Ishikawa,19,Japan,2012,12/8/12,Table Tennis,0,1,0
Ju Se-Hyeok,32,South Korea,2012,12/8/12,Table Tennis,0,1,0
Li Jia Wei,30,Singapore,2012,12/8/12,Table Tennis,0,0,1
Ma Long,23,China,2012,12/8/12,Table Tennis,1,0,0
O Sang-Eun,35,South Korea,2012,12/8/12,Table Tennis,0,1,0
Bastian Steger,31,Germany,2012,12/8/12,Table Tennis,0,0,1
Wang Jue Gu,32,Singapore,2012,12/8/12,Table Tennis,0,0,1
Yu Seung-Min,29,South Korea,2012,12/8/12,Table Tennis,0,1,0
Timo Boll,27,Germany,2008,24/08/2008,Table Tennis,0,1,0
Dang Ye-Seo,27,South Korea,2008,24/08/2008,Table Tennis,0,0,1
Feng Tian Wei,21,Singapore,2008,24/08/2008,Table Tennis,0,1,0
Kim Gyeong-A,31,South Korea,2008,24/08/2008,Table Tennis,0,0,1
Li Jia Wei,27,Singapore,2008,24/08/2008,Table Tennis,0,1,0
O Sang-Eun,31,South Korea,2008,24/08/2008,Table Tennis,0,0,1
Dmitrij Ovtcharov,19,Germany,2008,24/08/2008,Table Tennis,0,1,0
Park Mi-Yeong,26,South Korea,2008,24/08/2008,Table Tennis,0,0,1
Christian Süß,23,Germany,2008,24/08/2008,Table Tennis,0,1,0
Wang Jue Gu,28,Singapore,2008,24/08/2008,Table Tennis,0,1,0
Yoon Jae-Young,25,South Korea,2008,24/08/2008,Table Tennis,0,0,1
Yu Seung-Min,26,South Korea,2008,24/08/2008,Table Tennis,0,0,1
Chen Qi,20,China,2004,29/08/2004,Table Tennis,1,0,0
Guo Yue,16,China,2004,29/08/2004,Table Tennis,0,0,1
Kim Gyeong-A,27,South Korea,2004,29/08/2004,Table Tennis,0,0,1
Kim Hyang-Mi,24,North Korea,2004,29/08/2004,Table Tennis,0,1,0
Ko Lai Chak,28,Hong Kong,2004,29/08/2004,Table Tennis,0,1,0
Lee Eun-Sil,27,South Korea,2004,29/08/2004,Table Tennis,0,1,0
Li Ching,29,Hong Kong,2004,29/08/2004,Table Tennis,0,1,0
Ma Lin,24,China,2004,29/08/2004,Table Tennis,1,0,0
Michael Maze,22,Denmark,2004,29/08/2004,Table Tennis,0,0,1
Niu Jianfeng,23,China,2004,29/08/2004,Table Tennis,0,0,1
Seog Eun-Mi,27,South Korea,2004,29/08/2004,Table Tennis,0,1,0
Finn Tugwell,28,Denmark,2004,29/08/2004,Table Tennis,0,0,1
Wang Hao,20,China,2004,29/08/2004,Table Tennis,0,1,0
Wang Liqin,26,China,2004,29/08/2004,Table Tennis,0,0,1
Wang Nan,25,China,2004,29/08/2004,Table Tennis,1,0,0
Yu Seung-Min,22,South Korea,2004,29/08/2004,Table Tennis,1,0,0
Chen Jing,31,Chinese Taipei,2000,1/10/00,Table Tennis,0,0,1
Patrick Chila,30,France,2000,1/10/00,Table Tennis,0,0,1
Jean-Philippe Gatien,31,France,2000,1/10/00,Table Tennis,0,0,1
Kim Mu-Gyo,25,South Korea,2000,1/10/00,Table Tennis,0,0,1
Sun Jin,20,China,2000,1/10/00,Table Tennis,0,1,0
Jan-Ove Waldner,34,Sweden,2000,1/10/00,Table Tennis,0,1,0
Wang Liqin,22,China,2000,1/10/00,Table Tennis,1,0,0
Yan Sen,25,China,2000,1/10/00,Table Tennis,1,0,0
Yang Ying,23,China,2000,1/10/00,Table Tennis,0,1,0
Yu Ji-Hye,24,South Korea,2000,1/10/00,Table Tennis,0,0,1
Alistair Brownlee,24,Great Britain,2012,12/8/12,Triathlon,1,0,0
Jonny Brownlee,22,Great Britain,2012,12/8/12,Triathlon,0,0,1
Erin Densham,27,Australia,2012,12/8/12,Triathlon,0,0,1
Javier Gómez,29,Spain,2012,12/8/12,Triathlon,0,1,0
Lisa Nordén,27,Sweden,2012,12/8/12,Triathlon,0,1,0
Nicola Spirig,30,Switzerland,2012,12/8/12,Triathlon,1,0,0
Bevan Docherty,31,New Zealand,2008,24/08/2008,Triathlon,0,0,1
Vanessa Fernandes,22,Portugal,2008,24/08/2008,Triathlon,0,1,0
Jan Frodeno,27,Germany,2008,24/08/2008,Triathlon,1,0,0
Emma Moffatt,23,Australia,2008,24/08/2008,Triathlon,0,0,1
Emma Snowsill,27,Australia,2008,24/08/2008,Triathlon,1,0,0
Simon Whitfield,33,Canada,2008,24/08/2008,Triathlon,0,1,0
Kate Allen,34,Austria,2004,29/08/2004,Triathlon,1,0,0
Hamish Carter,33,New Zealand,2004,29/08/2004,Triathlon,1,0,0
Bevan Docherty,27,New Zealand,2004,29/08/2004,Triathlon,0,1,0
Loretta Harrop,29,Australia,2004,29/08/2004,Triathlon,0,1,0
Sven Riederer,23,Switzerland,2004,29/08/2004,Triathlon,0,0,1
Susan Williams,35,United States,2004,29/08/2004,Triathlon,0,0,1
Michellie Jones,31,Australia,2000,1/10/00,Triathlon,0,1,0
Brigitte McMahon,33,Switzerland,2000,1/10/00,Triathlon,1,0,0
Magali Messmer,29,Switzerland,2000,1/10/00,Triathlon,0,0,1
Jan Rehula,26,Czech Republic,2000,1/10/00,Triathlon,0,0,1
Stephan Vuckovic,28,Germany,2000,1/10/00,Triathlon,0,1,0
Simon Whitfield,25,Canada,2000,1/10/00,Triathlon,1,0,0
Dong Dong,23,China,2012,12/8/12,Trampoline,1,0,0
He Wenna,23,China,2012,12/8/12,Trampoline,0,0,1
Huang Shanshan,26,China,2012,12/8/12,Trampoline,0,1,0
Lu Chunlong,23,China,2012,12/8/12,Trampoline,0,0,1
Rosie MacLennan,23,Canada,2012,12/8/12,Trampoline,1,0,0
Dmitry Ushakov,23,Russia,2012,12/8/12,Trampoline,0,1,0
Jason Burnett,21,Canada,2008,24/08/2008,Trampoline,0,1,0
Karen Cockburn,28,Canada,2008,24/08/2008,Trampoline,0,1,0
Dong Dong,19,China,2008,24/08/2008,Trampoline,0,0,1
He Wenna,19,China,2008,24/08/2008,Trampoline,1,0,0
Yekaterina Khilko,26,Uzbekistan,2008,24/08/2008,Trampoline,0,0,1
Lu Chunlong,19,China,2008,24/08/2008,Trampoline,1,0,0
Karen Cockburn,24,Canada,2004,29/08/2004,Trampoline,0,1,0
Anna Dogonadze-Lilkendey,31,Germany,2004,29/08/2004,Trampoline,1,0,0
Huang Shanshan,18,China,2004,29/08/2004,Trampoline,0,0,1
Aleksandr Moskalenko,34,Russia,2004,29/08/2004,Trampoline,0,1,0
Yuriy Nikitin,26,Ukraine,2004,29/08/2004,Trampoline,1,0,0
Henrik Stehlik,23,Germany,2004,29/08/2004,Trampoline,0,0,1
Karen Cockburn,20,Canada,2000,1/10/00,Trampoline,0,0,1
Irina Karavayeva,25,Russia,2000,1/10/00,Trampoline,1,0,0
Aleksandr Moskalenko,30,Russia,2000,1/10/00,Trampoline,1,0,0
Oksana Tsyhulova,26,Ukraine,2000,1/10/00,Trampoline,0,1,0
Mathieu Turgeon,21,Canada,2000,1/10/00,Trampoline,0,0,1
Ji Wallace,23,Australia,2000,1/10/00,Trampoline,0,1,0
Anastasiya Baryshnikova,21,Russia,2012,12/8/12,Taekwondo,0,0,1
Sebastian Crismanich,25,Argentina,2012,12/8/12,Taekwondo,1,0,0
Aleksey Denisenko,18,Russia,2012,12/8/12,Taekwondo,0,0,1
Robelis Despaigne,24,Cuba,2012,12/8/12,Taekwondo,0,0,1
María Espinoza,24,Mexico,2012,12/8/12,Taekwondo,0,0,1
